id,hospital_name,sido,sggu,emdong,address,longitude,latitude
n74f9y,엠케이성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 830, 2층 (신사동)",127.0285687,37.5226204
ecazrp,엠플러스의원,서울,강남구,논현동,"서울특별시 강남구 학동로 180, 학동역 지하2층 213,214,215,216호 (논현동)",127.0314638,37.5142064
9dxoq2,역삼밴스피부과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 116, 동경빌딩 1~2층 (역삼동)",127.0305483,37.4984921
vpgstq,연세강남정형외과의원,서울,강남구,삼성동,"서울특별시 강남구 테헤란로 401, 남경센타 10층 1호 (삼성동)",127.0491606,37.5049841
mgvu4i,연세고른숨이비인후과의원,서울,강남구,삼성동,"서울특별시 강남구 테헤란로 401, 남경센타 10층 2호 (삼성동)",127.0491606,37.5049841
sotn9u,연세다인성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 25, 3층 (신사동)",127.0278537,37.5248319
zeryf0,연세다정한365의원,서울,강남구,개포동,"서울특별시 강남구 선릉로 50, 경빌딩 3층 (개포동)",127.0595565,37.4837714
992qc6,연세더맑은내과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로20길 10, 쓰리엠타워 6,7층 (역삼동)",127.0341706,37.4990707
dr08cw,연세라미슈의원,서울,강남구,도곡동,"서울특별시 강남구 남부순환로 2609, 하늘빌딩 2층 (도곡동)",127.0351301,37.4849802
2lbm2q,연세라인업의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 222, 도원빌딩 5층 (역삼동)",127.040788,37.5016641
sq0p82,연세라파의원,서울,강남구,역삼동,"서울특별시 강남구 역삼로 310, 한솔필리아 2층 19호, 20호 (역삼동)",127.0484325,37.4992883
kb700u,연세라헨느의원,서울,강남구,삼성동,"서울특별시 강남구 테헤란로87길 17, (삼성동, 마젤란21아스테리움 201,202호)",127.0582844,37.5087249
crgb93,연세루다의원,서울,강남구,신사동,"서울특별시 강남구 압구정로10길 32, 3층 (신사동, 래미안빌딩)",127.0219139,37.5215377
wkcs4k,연세리움의원,서울,강남구,대치동,"서울특별시 강남구 도곡로 541, 5층 (대치동)",127.0665992,37.5009871
ek4aeg,연세맑은이비인후과송소아청소년과의원,서울,강남구,대치동,"서울특별시 강남구 남부순환로 2927, 207,307호 (대치동, 대치클래시아)",127.0603918,37.4936881
vfq3jz,연세모나의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 416, 창림빌딩 6층 601호 (역삼동)",127.0271777,37.4998129
r25mdf,연세모에버의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 104, 1st Avenue 12층 (논현동)",127.0203412,37.5160775
7fr91i,연세미다인의원,서울,강남구,신사동,"서울특별시 강남구 압구정로30길 23, 3층 304호 (신사동)",127.0295122,37.5259003
pwh0mx,연세미타임피부과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 378, 5층 (역삼동)",127.0286835,37.4966716
1egok0,연세베러의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로26길 10, 성보빌딩 6층 (역삼동)",127.0358567,37.4996461
1tnzrf,연세뷰티의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 152, 304호 일부 B동 3층 (신사동)",127.0260696,37.5255661
